id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
17935561;1;1;Sant Pere, Santa Caterina i la Ribera;Private room in serviced apartment;Private room;2;0;1;2;44;30.4;1125;123;6;0;4.91;4.93;4.82;4.88;4.93;4.93;4.89;0
17939993;0;1;Horta;Private room in condo;Private room;2;1;1;1;39;31;365;18;0;0;4.94;4.83;4.83;4.94;4.83;4.56;4.78;1
17959322;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;2;4;5;180;32;1000;6;0;0;5;5;4.67;5;5;4.67;5;0
17969324;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;1.5;2;2;131;5;1125;173;22;2;4.5;4.62;4.49;4.68;4.73;4.96;4.46;1
17691490;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;3;190;2;1125;317;70;1;4.84;4.93;4.88;4.9;4.95;4.92;4.75;0
17693680;0;1;el Poble Sec;Entire rental unit;Entire home/apt;6;2;2;2;134;3;365;237;34;0;4.64;4.66;4.59;4.75;4.78;4.72;4.48;1
17713036;0;1;el Poble Sec;Entire rental unit;Entire home/apt;6;2;2;2;134;3;365;205;23;1;4.64;4.76;4.65;4.75;4.82;4.65;4.5;1
18000525;0;1;el Fort Pienc;Shared room in hostel;Shared room;2;2.5;1;4;64;1;1125;9;4;0;4.67;4.78;4.89;4.67;4.89;4.89;4.44;0
18007337;0;1;la Sagrada Família;Shared room in hostel;Shared room;2;2.5;1;4;64;1;1125;2;1;0;4.5;4;4.5;5;4.5;5;4.5;0
18007602;0;1;el Fort Pienc;Shared room in hostel;Shared room;1;2.5;1;12;45;1;1125;12;3;0;4.67;4.58;4.17;4.92;4.92;4.75;4.5;0
17726037;1;1;el Raval;Entire rental unit;Entire home/apt;6;3.5;4;4;200;30;200;4;1;0;4.5;4.25;4.25;4.75;4.75;4.75;4.75;0
17726717;0;0;el Poble Sec;Entire rental unit;Entire home/apt;9;2;5;10;391;2.6;241.5;166;17;0;4.2;4.34;4.24;4.13;4.47;4.58;4.22;0
17741245;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;2;1;1;1;57;32;1125;4;0;0;5;4.75;5;5;5;5;5;0
